dataset_id,source,n_samples,n_features,n_classes,description
openml_3,openml,3196,36,2,kr-vs-kp
openml_6,openml,20000,16,26,letter
openml_11,openml,625,4,3,balance-scale
openml_12,openml,2000,216,10,mfeat-factors
openml_14,openml,2000,76,10,mfeat-fourier
openml_15,openml,699,9,2,breast-w
openml_16,openml,2000,64,10,mfeat-karhunen
openml_18,openml,2000,6,10,mfeat-morphological
openml_22,openml,2000,47,10,mfeat-zernike
openml_23,openml,1473,9,3,cmc
openml_28,openml,5620,64,10,optdigits
openml_29,openml,690,15,2,credit-approval
openml_31,openml,1000,20,2,credit-g
openml_32,openml,10992,16,10,pendigits
openml_37,openml,768,8,2,diabetes
openml_38,openml,3772,29,2,sick
openml_44,openml,4601,57,2,spambase
openml_46,openml,3190,60,3,splice
openml_50,openml,958,9,2,tic-tac-toe
openml_54,openml,846,18,4,vehicle
openml_151,openml,45312,8,2,electricity
openml_181,openml,1484,8,10,yeast
openml_182,openml,6430,36,6,satimage
openml_188,openml,736,19,5,eucalyptus
openml_307,openml,990,12,11,vowel
openml_458,openml,841,70,4,analcatdata_authorship
openml_469,openml,797,4,6,analcatdata_dmft
openml_1049,openml,1458,37,2,pc4
openml_1050,openml,1563,37,2,pc3
openml_1053,openml,10885,21,2,jm1
openml_1063,openml,522,21,2,kc2
openml_1067,openml,2109,21,2,kc1
openml_1068,openml,1109,21,2,pc1
openml_1461,openml,45211,16,2,bank-marketing
openml_1462,openml,1372,4,2,banknote-authentication
openml_1464,openml,748,4,2,blood-transfusion-service-center
openml_1475,openml,6118,51,6,first-order-theorem-proving
openml_1480,openml,583,10,2,ilpd
openml_1485,openml,2600,500,2,madelon
openml_1486,openml,34465,118,2,nomao
openml_1487,openml,2534,72,2,ozone-level-8hr
openml_1489,openml,5404,5,2,phoneme
openml_1494,openml,1055,41,2,qsar-biodeg
openml_1497,openml,5456,24,4,wall-robot-navigation
openml_1501,openml,1593,256,10,semeion
openml_1510,openml,569,30,2,wdbc
openml_1590,openml,48842,14,2,adult
openml_4534,openml,11055,30,2,PhishingWebsites
openml_4538,openml,9873,32,5,GesturePhaseSegmentationProcessed
openml_6332,openml,540,37,2,cylinder-bands
openml_23381,openml,500,12,2,dresses-sales
openml_40499,openml,5500,40,11,texture
openml_40670,openml,3186,180,3,dna
openml_40701,openml,5000,20,2,churn
openml_40966,openml,1080,77,8,MiceProtein
openml_40975,openml,1728,6,4,car
openml_40979,openml,2000,240,10,mfeat-pixel
openml_40982,openml,1941,27,7,steel-plates-fault
openml_40983,openml,4839,5,2,wilt
openml_40984,openml,2310,16,7,segment
openml_40994,openml,540,18,2,climate-model-simulation-crashes
openml_41027,openml,44819,6,3,jungle_chess_2pcs_raw_endgame_complete
synth_blobs_easy_2d,synthetic,500,2,3,blobs_easy_2d
synth_blobs_overlap_2d,synthetic,500,2,5,blobs_overlap_2d
synth_blobs_many_2d,synthetic,500,2,10,blobs_many_2d
synth_blobs_easy_10d,synthetic,1000,10,3,blobs_easy_10d
synth_blobs_overlap_10d,synthetic,1000,10,7,blobs_overlap_10d
synth_blobs_highd_50,synthetic,1000,50,5,blobs_highd_50
synth_blobs_highd_100,synthetic,2000,100,10,blobs_highd_100
synth_blobs_large_2d,synthetic,5000,2,15,blobs_large_2d
synth_blobs_large_20d,synthetic,5000,20,20,blobs_large_20d
synth_blobs_high_overlap,synthetic,300,2,3,blobs_high_overlap
synth_blobs_well_separated,synthetic,500,5,4,blobs_well_separated
synth_blobs_varying_std,synthetic,1000,2,6,blobs_varying_std
synth_moons_noise0.05,synthetic,1000,2,2,moons_noise0.05
synth_moons_noise0.15,synthetic,1000,2,2,moons_noise0.15
synth_moons_noise0.30,synthetic,1000,2,2,moons_noise0.30
synth_circles_n0.05_f0.5,synthetic,1000,2,2,circles_n0.05_f0.5
synth_circles_n0.10_f0.3,synthetic,1000,2,2,circles_n0.10_f0.3
synth_circles_n0.15_f0.7,synthetic,1000,2,2,circles_n0.15_f0.7
synth_imb_1_1_5_2d,synthetic,700,2,3,imb_1_1_5_2d
synth_imb_extreme_5d,synthetic,1750,5,4,imb_extreme_5d
synth_imb_one_large_10d,synthetic,1400,10,5,imb_one_large_10d
synth_imb_many_small_3d,synthetic,590,3,4,imb_many_small_3d
synth_noisy_10pct,synthetic,500,2,4,noisy_10pct
synth_noisy_30pct,synthetic,500,2,4,noisy_30pct
synth_noisy_20pct_5d,synthetic,1000,5,6,noisy_20pct_5d
synth_subspace_2of20,synthetic,500,20,3,subspace_2of20
synth_subspace_5of50,synthetic,1000,50,5,subspace_5of50
synth_elongated_2d,synthetic,1000,2,3,elongated_2d
synth_elongated_10d,synthetic,1000,10,5,elongated_10d
synth_spirals_2arms_n0.10,synthetic,800,2,2,spirals_2arms_n0.10
synth_spirals_3arms_n0.05,synthetic,798,2,3,spirals_3arms_n0.05
synth_spirals_3arms_n0.20,synthetic,798,2,3,spirals_3arms_n0.20
synth_varying_density_2d,synthetic,1630,2,5,varying_density_2d
synth_varying_density_5d,synthetic,896,5,5,varying_density_5d
synth_varying_density_15d,synthetic,1390,15,5,varying_density_15d
synth_nested_rings_3,synthetic,900,2,3,nested_rings_3
synth_nested_rings_5,synthetic,1500,2,5,nested_rings_5
synth_blobs_20d_15k,synthetic,2000,20,15,blobs_20d_15k
synth_blobs_30d_10k,synthetic,2000,30,10,blobs_30d_10k
synth_blobs_50d_20k,synthetic,2000,50,20,blobs_50d_20k
synth_aniso_2d_4k,synthetic,800,2,4,aniso_2d_4k
synth_aniso_5d_3k,synthetic,600,5,3,aniso_5d_3k
synth_aniso_10d_6k,synthetic,1200,10,6,aniso_10d_6k
synth_moons_plus_blob,synthetic,600,2,3,moons_plus_blob
synth_uniform_noise_2d,synthetic,500,2,3,uniform_noise_2d
synth_uniform_noise_10d,synthetic,500,10,3,uniform_noise_10d
synth_blobs_5d_k2,synthetic,500,5,2,blobs_5d_k2
synth_blobs_5d_k4,synthetic,500,5,4,blobs_5d_k4
synth_blobs_5d_k8,synthetic,800,5,8,blobs_5d_k8
synth_blobs_5d_k12,synthetic,1200,5,12,blobs_5d_k12
synth_blobs_5d_k20,synthetic,2000,5,20,blobs_5d_k20
synth_elongated_aspect5_3d,synthetic,800,3,4,elongated_aspect5_3d
synth_elongated_aspect10_3d,synthetic,800,3,4,elongated_aspect10_3d
