dataset_id,source,n_samples,n_features,n_classes,description
synth_blobs_easy_2d,synthetic,500,2,3,blobs_easy_2d
synth_blobs_overlap_2d,synthetic,500,2,5,blobs_overlap_2d
synth_blobs_many_2d,synthetic,500,2,10,blobs_many_2d
synth_blobs_easy_10d,synthetic,1000,10,3,blobs_easy_10d
synth_blobs_overlap_10d,synthetic,1000,10,7,blobs_overlap_10d
synth_blobs_highd_50,synthetic,1000,50,5,blobs_highd_50
synth_blobs_highd_100,synthetic,2000,100,10,blobs_highd_100
synth_blobs_large_2d,synthetic,5000,2,15,blobs_large_2d
synth_blobs_large_20d,synthetic,5000,20,20,blobs_large_20d
synth_blobs_high_overlap,synthetic,300,2,3,blobs_high_overlap
synth_blobs_well_separated,synthetic,500,5,4,blobs_well_separated
synth_blobs_varying_std,synthetic,1000,2,6,blobs_varying_std
synth_moons_noise0.05,synthetic,1000,2,2,moons_noise0.05
synth_moons_noise0.15,synthetic,1000,2,2,moons_noise0.15
synth_moons_noise0.30,synthetic,1000,2,2,moons_noise0.30
synth_circles_n0.05_f0.5,synthetic,1000,2,2,circles_n0.05_f0.5
synth_circles_n0.10_f0.3,synthetic,1000,2,2,circles_n0.10_f0.3
synth_circles_n0.15_f0.7,synthetic,1000,2,2,circles_n0.15_f0.7
synth_imb_1_1_5_2d,synthetic,700,2,3,imb_1_1_5_2d
synth_imb_extreme_5d,synthetic,1750,5,4,imb_extreme_5d
synth_imb_one_large_10d,synthetic,1400,10,5,imb_one_large_10d
synth_imb_many_small_3d,synthetic,590,3,4,imb_many_small_3d
synth_noisy_10pct,synthetic,500,2,4,noisy_10pct
synth_noisy_30pct,synthetic,500,2,4,noisy_30pct
synth_noisy_20pct_5d,synthetic,1000,5,6,noisy_20pct_5d
synth_subspace_2of20,synthetic,500,20,3,subspace_2of20
synth_subspace_5of50,synthetic,1000,50,5,subspace_5of50
synth_elongated_2d,synthetic,1000,2,3,elongated_2d
synth_elongated_10d,synthetic,1000,10,5,elongated_10d
openml_15,openml,699,9,2,breast-w
openml_28,openml,5620,64,10,optdigits
openml_37,openml,768,8,2,diabetes
openml_54,openml,846,18,4,vehicle
openml_181,openml,1484,8,10,yeast
openml_182,openml,6430,36,6,satimage
openml_307,openml,990,12,11,vowel
openml_458,openml,841,70,4,analcatdata_authorship
openml_1462,openml,1372,4,2,banknote-authentication
openml_1489,openml,5404,5,2,phoneme
openml_1497,openml,5456,24,4,wall-robot-navigation
openml_1510,openml,569,30,2,wdbc
openml_40499,openml,5500,40,11,texture
openml_40966,openml,1080,77,8,MiceProtein
openml_40984,openml,2310,16,7,segment
