dataset_id,algo,hyperparams_json,run_id,ami,silhouette,calinski_harabasz,davies_bouldin,n_clusters_found,noise_fraction,runtime_sec
synth_blobs_easy_2d,SpectralClustering,"{""n_clusters"": 2, ""affinity"": ""nearest_neighbors""}",c5dfd3221b79,0.7323841712091005,0.4969443408327607,421.30013362153613,0.8107593599977776,2,0.0,0
synth_blobs_easy_2d,SpectralClustering,"{""n_clusters"": 3, ""affinity"": ""nearest_neighbors""}",e3ae029f4d54,0.7184706805547937,0.5397428020349121,713.0469226621683,0.6090445790930789,3,0.0,0
synth_blobs_easy_2d,SpectralClustering,"{""n_clusters"": 5, ""affinity"": ""nearest_neighbors""}",98d2a79e4c00,0.6461954788269482,0.46101810322116954,779.0259052006786,0.6847869122722366,5,0.0,0
synth_blobs_easy_2d,SpectralClustering,"{""n_clusters"": 7, ""affinity"": ""nearest_neighbors""}",0481ef8f35a2,0.5811273053667713,0.4048266298204394,748.6582152929784,0.6898929583066684,7,0.0,0
synth_blobs_easy_2d,SpectralClustering,"{""n_clusters"": 10, ""affinity"": ""nearest_neighbors""}",9a585386bc6d,0.5866327406537802,0.41699827840463977,861.5797392906902,0.7356761621077069,10,0.0,0
synth_blobs_easy_2d,SpectralClustering,"{""n_clusters"": 15, ""affinity"": ""nearest_neighbors""}",971471268792,0.5287559545476817,0.380115351449942,884.9120025637018,0.7947167346028967,15,0.0,0
synth_blobs_overlap_2d,SpectralClustering,"{""n_clusters"": 2, ""affinity"": ""nearest_neighbors""}",c5dfd3221b79,0.4723284454204041,0.4248622013049351,256.2231490959348,0.7547253453577364,2,0.0,0
synth_blobs_overlap_2d,SpectralClustering,"{""n_clusters"": 3, ""affinity"": ""nearest_neighbors""}",e3ae029f4d54,0.6105517392215573,0.49665251392903204,565.6651716706801,0.7150613606867086,3,0.0,0
synth_blobs_overlap_2d,SpectralClustering,"{""n_clusters"": 5, ""affinity"": ""nearest_neighbors""}",98d2a79e4c00,0.747746227028921,0.498355113787739,964.6307758524185,0.6649727085560824,5,0.0,0
synth_blobs_overlap_2d,SpectralClustering,"{""n_clusters"": 7, ""affinity"": ""nearest_neighbors""}",0481ef8f35a2,0.6805434698885373,0.41466191058626223,877.7466216295308,0.8197314458076743,7,0.0,0
synth_blobs_overlap_2d,SpectralClustering,"{""n_clusters"": 10, ""affinity"": ""nearest_neighbors""}",9a585386bc6d,0.621244083241815,0.35740936147651214,814.500852044689,0.8799987457459457,10,0.0,0
