axis,bin,n_dataset_seed_pairs,mean_regret,std_regret
n_classes,11-20,14,0.039131552507167086,0.07564882785170564
n_classes,2,58,0.08248606844616996,0.11902814472736728
n_classes,21+,4,0.06301279992648443,0.08846877934469387
n_classes,3-5,85,0.08049428868101237,0.12228173557221911
n_classes,6-10,69,0.05926161726189067,0.0720926162253163
dimensionality,16-50,72,0.06545008347179558,0.08084075446493116
dimensionality,6-15,48,0.0464832641123866,0.06401344680561318
dimensionality,>50,20,0.10391539298312187,0.13519309605352242
dimensionality,≤5,90,0.08325822762904851,0.12913126470386568
dataset_size,1500-3000,64,0.05970890590517889,0.08842379675940741
dataset_size,500-1500,117,0.06950988847853512,0.114348239630454
dataset_size,>3000,49,0.09308416538205275,0.10333266944980629
imbalance,balanced (<1.5),158,0.07104577387754309,0.11289041886317212
imbalance,extreme (>10),24,0.09932064536579265,0.1253117795747668
imbalance,mild (1.5-3),24,0.08604302947900787,0.07287374479201504
imbalance,moderate (3-10),24,0.03504960686306762,0.024958317260137444
source,image,3,0.02139559616208475,0.02921138851664465
source,openml,100,0.07886123649814204,0.08756560689751931
source,synthetic,122,0.06764030760653135,0.12029245538249587
source,text,5,0.06254461346867175,0.0824232843467291
