feature_set,key,d,regret_mean,regret_std,spearman_mean
Dataset descriptors only,dataset_desc_only,14,0.3033407503469165,0.2243801627052818,
IVM only,ivm_only,3,0.1882301261700741,0.21579246431817276,0.6143708386300394
Graph only,graph_only,6,0.09600287545925222,0.13144728700897976,0.7000790637945089
Partition only,partition_x,22,0.08199581097659335,0.13329167729552172,0.7468538413316075
Partition + dataset,partition_x_dataset,36,0.07757242265064879,0.11078493851493747,0.7455116291089218
"No IVM, no algorithm",no_ivm_no_algo,42,0.06757812721866424,0.09744785182485483,0.7773730550139437
No IVM features,no_ivm,53,0.06715694118985445,0.0903283909730417,0.7567932042310717
No algorithm features,no_algo,45,0.07116873837704037,0.1055698708406658,0.7454027388200407
All features,all_features,56,0.07083306598229817,0.10297268373471714,0.7422596763340008
Compact: top-15 features,compact_15,15,0.09168236190589889,0.13279655286109415,0.749135250450132
Compact: top-8 features,compact_8,8,0.09381051245568786,0.12096844823320206,0.7367929682790325
