dataset_id,mean_regret,std_regret,n_runs,best_ami,worst_ami,ami_range,mean_ami,n_algos
synth_uniform_noise_2d,0.8302448777754561,0.0,79,0.9887080148042984,0.0,0.9887080148042984,0.30653675103216316,5
synth_moons_noise0.15,0.465352972820657,0.0,91,0.8181712258867081,-0.0015424734258113,0.8197136993125194,0.323408843178767,6
synth_subspace_5of200,0.39470222703198365,0.0,78,0.966513196845758,-0.0004806219872126,0.9669938188329705,0.17322129638568173,5
openml_1040,0.3917444804295652,0.0,46,0.4781443563556883,0.0,0.4781443563556883,0.06414708802016626,4
synth_blobs_many_2d,0.3786437507899627,0.0,91,0.9923894055132264,0.0,0.9923894055132264,0.7038524495482797,6
synth_subspace_5of50,0.26579898135504176,0.06097802493621707,91,0.9960669625875376,-0.0006789417866349,0.9967459043741724,0.259880607058592,6
openml_1510,0.2529003792313689,0.03365129393210611,79,0.6606046895884794,0.0,0.6606046895884794,0.20162473547945314,5
synth_moons_noise0.05,0.24852291501880913,0.24852291501880913,91,1.0,0.0,1.0,0.523017492157814,6
openml_40966,0.24671857921056978,0.0,79,0.5295477167201278,0.0,0.5295477167201278,0.14737534035745353,5
synth_blobs_high_overlap,0.2441906191808717,0.018262913061068753,91,0.698235661135203,-1.940960210876992e-15,0.6982356611352049,0.3593271153992713,6
openml_28,0.23489017170073523,0.0,77,0.7662636160192006,-2.162294886156363e-05,0.7662852389680621,0.2161402512948194,5
synth_uniform_noise_10d,0.2261316554463545,0.0,79,0.305118861599334,0.0,0.305118861599334,0.07218555454850945,5
synth_grid_d5_k3_highoverlap,0.2217098676539081,0.0,79,0.9371940561431265,-0.0020441238396358,0.9392381799827623,0.4312642896355386,5
synth_blobs_easy_2d,0.22062335751146678,0.0,91,0.9390940380662604,0.0,0.9390940380662604,0.5708244585982389,6
openml_1468,0.20574651637732688,0.0,78,0.5546359971708771,-0.0017534822623737,0.5563894794332508,0.1459431331476732,5
openml_15,0.2056265643493417,0.12975773469802557,85,0.791492156246441,0.0,0.791492156246441,0.4186904865000291,6
synth_density_varying_d2,0.18254014561916276,0.0,79,0.867055559337169,0.0,0.867055559337169,0.5087668860419449,5
synth_moons_plus_blob,0.1807930084707342,0.0,79,0.7126014799826382,0.0,0.7126014799826382,0.40162143617135027,5
openml_375,0.17482086233394922,0.0,79,0.7333099683064045,0.0,0.7333099683064045,0.22288256118155925,5
openml_40984,0.1718764476226446,0.0006268183382336923,76,0.6533648429254818,0.0012095352378795,0.6521553076876023,0.3749860196604355,5
synth_circles_n0.15_f0.7,0.16584062528290144,0.0013509375428937542,91,0.1654850775773874,-0.0018927900511686,0.167377867628556,0.030821312960727387,6
synth_blobs_overlap_2d,0.16534978658990396,0.0,91,0.7759015258114612,0.0,0.7759015258114612,0.5176193976342451,6
