scenario,method,n_train,n_test,regret_mean,regret_std,eps_success_mean,eps_success_std,ndcg_at_k_mean,ndcg_at_k_std,spearman_mean,spearman_std,kendall_mean,kendall_std
synth → real,XGBoost (ours),123,100,0.10034047769812876,0.10699110838574062,0.17,0.37752516806863706,0.6624685998389233,0.26622994300962005,0.6776530225584542,0.27409625428545215,0.5255707576729566,0.2416179729589881
synth → real,Silhouette,123,100,0.29206765195018125,0.25866932423960354,0.06,0.2386832565759418,0.19665250971797865,0.24020441158625458,0.20790298209811653,0.3854799845497291,0.13323109123860266,0.2875718214686136
synth → real,Calinski-Harabasz,123,100,0.23455191665599234,0.22350174801269004,0.09,0.2876234912646614,0.4089061768131678,0.258469921498091,0.4885185734449127,0.32113466361067367,0.35280328851708637,0.25950941288233376
synth → real,CH Adjusted (Jeon),123,100,0.2466125841745095,0.24287001034060587,0.06,0.23868325657594167,0.30845304231515586,0.36163153307325335,0.42943188973840885,0.27785853074910244,0.32008448036283876,0.21957688510802403
real → synth,XGBoost (ours),100,123,0.23826835214818418,0.2122949309854573,0.07317073170731707,0.26148164551192504,0.7395872763224892,0.2180325723101447,0.607023204376826,0.2886591501913632,0.4770516992263711,0.24742848257319655
real → synth,Silhouette,100,123,0.4279907797167689,0.33488172734106564,0.10569105691056911,0.3086992310441252,0.6938611215781216,0.25014817594374494,0.711827502315389,0.21579579622802286,0.569556654565519,0.1997004654175129
real → synth,Calinski-Harabasz,100,123,0.19273674682954942,0.241612760361676,0.2926829268292683,0.4568550244822117,0.8213946009901993,0.22388377820664498,0.7605366243902221,0.24182312479838308,0.6239474696588143,0.2335924654110036
real → synth,CH Adjusted (Jeon),100,123,0.2868346466830935,0.308210906686051,0.24390243902439024,0.43119094349035253,0.7855019923564114,0.23682620360671447,0.6597340383362802,0.2007961191458419,0.5050840979309403,0.19011061025550743
synth → OpenML,XGBoost (ours),123,91,0.09992047047035854,0.1109990778868944,0.18681318681318682,0.39192085119568904,0.6521234566681796,0.2744418066667527,0.6569604736047874,0.27834408448744224,0.5061244780313946,0.24337590288574412
synth → OpenML,Silhouette,123,91,0.27926100739210036,0.26294831751186803,0.06593406593406594,0.24954170447254362,0.2126613775425106,0.24573409133379467,0.19950749764966,0.40255409232942957,0.13266743886294652,0.3009589405541214
synth → OpenML,Calinski-Harabasz,123,91,0.21834681536825692,0.2223943291866225,0.0989010989010989,0.3001830943106058,0.4334198387514616,0.2563453739739343,0.4654773405382748,0.3268029855194458,0.33616823292447323,0.2649408936275566
synth → OpenML,CH Adjusted (Jeon),123,91,0.23031631446527315,0.2426711457630472,0.06593406593406594,0.24954170447254373,0.32298920624985394,0.3749947101315727,0.403808990951065,0.28378643966612566,0.30280069591451053,0.22609503182881335
OpenML → synth,XGBoost (ours),91,123,0.2091898838654215,0.16798344796769807,0.08130081300813008,0.2744143072955816,0.7640212716394782,0.18970139722611387,0.5896010048153604,0.30246479996685094,0.4637719936609984,0.25773867703150594
OpenML → synth,Silhouette,91,123,0.4279907797167689,0.33488172734106564,0.10569105691056911,0.3086992310441252,0.6938611215781216,0.25014817594374494,0.711827502315389,0.21579579622802286,0.569556654565519,0.1997004654175129
OpenML → synth,Calinski-Harabasz,91,123,0.19273674682954942,0.241612760361676,0.2926829268292683,0.4568550244822117,0.8213946009901993,0.22388377820664498,0.7605366243902221,0.24182312479838308,0.6239474696588143,0.2335924654110036
OpenML → synth,CH Adjusted (Jeon),91,123,0.2868346466830935,0.308210906686051,0.24390243902439024,0.43119094349035253,0.7855019923564114,0.23682620360671447,0.6597340383362802,0.2007961191458419,0.5050840979309403,0.19011061025550743
synth → image+text,XGBoost (ours),123,9,0.10458721744558314,0.0550144159423279,0.0,0.0,0.7670694918986651,0.12752513494164544,0.886877684201085,0.06326443131713791,0.7221942518265275,0.09105011408043633
synth → image+text,Silhouette,123,9,0.4215570580374446,0.17156487102772794,0.0,0.0,0.034785068381044476,0.04784662988451512,0.2927906581880655,0.08301954687318114,0.13893024303690377,0.06602169414147287
synth → image+text,Calinski-Harabasz,123,9,0.39840349634309485,0.16900280016780664,0.0,0.0,0.16104581721486355,0.10729705091984507,0.7214910395009172,0.08718173471305495,0.5210021839535098,0.09349977540319165
synth → image+text,CH Adjusted (Jeon),123,9,0.41138597790123366,0.18406640619575082,0.0,0.0,0.1614762736420971,0.09837328700939424,0.6315680912830105,0.07701170149140883,0.4564343354552054,0.07249819807279492
OpenML → image+text,XGBoost (ours),91,9,0.10425534772340067,0.10172884903649652,0.1111111111111111,0.33333333333333326,0.8114761876914566,0.14815993487456616,0.8777409204654645,0.061620826416991945,0.7212154267266633,0.08813968250064665
OpenML → image+text,Silhouette,91,9,0.4215570580374446,0.17156487102772794,0.0,0.0,0.034785068381044476,0.04784662988451512,0.2927906581880655,0.08301954687318114,0.13893024303690377,0.06602169414147287
OpenML → image+text,Calinski-Harabasz,91,9,0.39840349634309485,0.16900280016780664,0.0,0.0,0.16104581721486355,0.10729705091984507,0.7214910395009172,0.08718173471305495,0.5210021839535098,0.09349977540319165
OpenML → image+text,CH Adjusted (Jeon),91,9,0.41138597790123366,0.18406640619575082,0.0,0.0,0.1614762736420971,0.09837328700939424,0.6315680912830105,0.07701170149140883,0.4564343354552054,0.07249819807279492
