target,method,regret_mean,regret_std,spearman_mean,spearman_std
ami,XGBoost,0.07548208313787179,0.009680383124169354,0.7602127040100999,0.029879356410812484
ami,Ridge,0.12342113487056383,0.02217533450380584,0.6337497057264649,0.05084296851601324
ami,Silhouette,0.341526752076862,0.048915009543818166,0.0603743180611717,0.07866561838283394
ami,Calinski-Harabasz,0.21683058013763593,0.04500300316649791,0.3815185009339227,0.03252142625578861
ami,Davies-Bouldin,0.2511849620078215,0.022507017525460672,-0.008923265159096874,0.07292620716860368
ari,XGBoost,0.09154135760985586,0.010021096012480602,0.7130093102311534,0.01493622948343254
ari,Ridge,0.1514868411149368,0.023009405129826067,0.540245325490828,0.057716850230412696
ari,Silhouette,0.3794629599309832,0.06450823752278037,0.06748843573000265,0.08914097220351237
ari,Calinski-Harabasz,0.24949330943712553,0.062306511945205395,0.4085721930103713,0.022238010115438668
ari,Davies-Bouldin,0.3234786230481653,0.033904869398426345,0.04854452493402166,0.09812351066604562
nmi,XGBoost,0.07199898024488405,0.012897876583879234,0.7804996750822496,0.024677562992315043
nmi,Ridge,0.1246723002565169,0.022955762088541956,0.6398043988289617,0.053039005002780096
nmi,Silhouette,0.34029720907024813,0.04879583554280541,0.06246646941307761,0.08068314720514912
nmi,Calinski-Harabasz,0.21859333584185378,0.04491605108340344,0.3518499787365794,0.03661587778209402
nmi,Davies-Bouldin,0.2541071965513244,0.022943829483460094,-0.042207179773046964,0.07113808447989521
v_measure,XGBoost,0.07199898024488406,0.012897876583879229,0.7806563210820177,0.02455314654678333
v_measure,Ridge,0.1246723002565169,0.02295576208854196,0.6398558755547947,0.05298283037803382
v_measure,Silhouette,0.34029720907024813,0.04879583554280541,0.06262523350099598,0.08058059178876259
v_measure,Calinski-Harabasz,0.21859333584185378,0.04491605108340344,0.35142092227168537,0.03694146456264091
v_measure,Davies-Bouldin,0.25410719655132447,0.022943829483460094,-0.04231963107508394,0.07106581770802772
