feature,importance
ivm_calinski_harabasz,0.34961462
ds_mean_of_kurtosis,0.097462796
graph_conductance_min,0.07962717
cluster_size_mean,0.046446767
ds_sparsity,0.044328272
entropy,0.043050632
ds_pairwise_dist_std,0.040815204
ds_mean_of_skewness,0.025664091
ds_d_over_n,0.021500118
between_cluster_var,0.018117001
noise_fraction,0.017189797
ds_n_features,0.016213631
gini,0.016145263
ivm_silhouette,0.015943758
ds_n_samples,0.014776353
singleton_fraction,0.014336614
cluster_density_mean,0.0118427975
ds_pairwise_dist_median,0.01075471
ds_mean_of_means,0.009232315
algo_GaussianMixture,0.0081945835
ds_pairwise_dist_mean,0.007863881
graph_conductance_mean,0.00779421
cluster_size_max,0.0074600372
ds_intrinsic_dim_pca95,0.0064961207
within_cluster_var_std,0.006477054
centroid_sep_std,0.005566135
cluster_size_std,0.005009036
within_cluster_var_mean,0.0044315974
cluster_density_std,0.0043937536
imbalance,0.004389438
centroid_sep_mean,0.004025167
cluster_density_max,0.003759671
graph_cut_fraction,0.0035727324
dispersion_ratio,0.0028770324
hp_n_components,0.00267505
algo_AgglomerativeClustering,0.002184624
ivm_davies_bouldin_neg,0.0021041739
centroid_sep_min,0.0019291205
cluster_size_median,0.0016926937
n_clusters,0.0014783643
graph_normalized_cut_proxy,0.0014177555
size_ratio,0.0013924855
graph_within_edge_density_std,0.0013122653
algo_KMeans,0.0011392654
hp_n_clusters,0.0010987608
hp_min_samples,0.00096322165
hp_eps,0.00090975437
cluster_size_min,0.0008869613
graph_within_cluster_edge_density,0.0008632081
ds_mean_of_stds,0.0007849079
hp_min_cluster_size,0.00057280465
algo_SpectralClustering,0.0005000254
algo_DBSCAN,0.0003722095
algo_HDBSCAN,0.0003499405
ds_log_d,0.0
ds_log_n,0.0
