held_out_family,n_train_datasets,n_test_datasets,n_test_partitions,regret
grid,187,36,2844,0.025354412370931886
aniso,220,3,237,0.025497632376587198
ellipsoidal,214,9,711,0.04856049462126978
elongated,218,5,419,0.049926442087938686
circles,220,3,273,0.05573052094193173
noisy,214,9,747,0.05908558983238975
varying,220,3,237,0.07465314600652728
spirals,220,3,237,0.09252565535577002
blobs,203,20,1700,0.09417244441680675
moons,219,4,352,0.3574617528895401
subspace,218,5,418,0.37486427053591276
imb,211,12,996,0.48700684254534404
