feature,mean_delta,ci_low,ci_high,sig
graph_conductance_min,0.03456792077548335,0.016728505110089706,0.05020270888325522,*
centroid_sep_mean,0.026371457544542065,0.009240289437761565,0.043332653279644535,*
centroid_sep_min,0.02488565357360726,0.004481991220295677,0.04155184399516438,*
noise_fraction,0.021455820356310256,0.014333305001694826,0.03141129109262135,*
cluster_size_max,0.019715119297628633,0.010393742154085282,0.031118754670435823,*
entropy,0.014982304140539589,-4.4025093389893e-05,0.03279473081234639, 
cluster_density_max,0.012877579641966211,0.0018372969293090843,0.02562137685422421,*
cluster_size_std,0.012328330054653646,0.004048394392031963,0.02184165616530355,*
centroid_sep_std,0.010292699457139346,-0.004694000573590076,0.027405671901841826, 
between_cluster_var,0.00944104062657475,-0.0034331907387856082,0.02320184837384046, 
within_cluster_var_std,0.009427951992442483,-0.0014817905658783862,0.02198686566885031, 
cluster_size_mean,0.008981142553204625,-0.004739623847182567,0.022055083662771566, 
cluster_density_mean,0.00857121575043351,-0.0013690424885466617,0.018911706270417942, 
cluster_density_std,0.008515386609968508,-0.003871093480808641,0.018523726293118502, 
graph_normalized_cut_proxy,0.008473238369619544,0.000535738362654904,0.015309677360991293,*
graph_within_edge_density_std,0.006479991826767571,-0.003527938924995002,0.015644255306039672, 
cluster_size_min,0.006129443080295189,-0.00491198158488493,0.017613905998007214, 
within_cluster_var_mean,0.005985018007656507,-0.004465109056399947,0.01508296521177473, 
cluster_size_median,0.005824082062951022,-0.0014557782004671975,0.012490751300191914, 
graph_conductance_mean,0.005185477789866514,-0.00500262532023445,0.01713794869582772, 
imbalance,0.004415226722825905,-0.0050523478998554016,0.013138485117145986, 
size_ratio,0.003686433917500014,-0.0021423479146249064,0.009754879575924715, 
singleton_fraction,0.003180767689963004,-0.004521945536274749,0.013582050311458708, 
graph_cut_fraction,0.0024763228343154813,-0.00619106401175892,0.017484283921417248, 
graph_within_cluster_edge_density,0.0020977344989119924,-0.00566357568939426,0.009084101061446992, 
n_clusters,0.0014006434307838624,-0.007832129561001062,0.007917769100784637, 
gini,0.0010732607205278394,-0.004316771101154047,0.00739313760600645, 
dispersion_ratio,0.00037320385819262505,-0.006517432060386886,0.007713983606174397, 
